"No","N_GENES_PER_STRAIN","T_END","N_GENES_INITIAL","N_ALLELES_INITIAL_PER_LOCUS","SELECTION_MODE","WHOLE_GENE_IMMUNE","TRANSITION_RATE_NOT_IMMUNE","TRANSITION_RATE_IMMUNE","T_YEAR","T_BURNIN","EXPECTED_EQUILIBRIUM","MAX_LIVER_MOI","MAX_ACTIVE_MOI","VERIFICATION_ON","VERIFICATION_PERIOD","OUTPUT_HOSTS","OUTPUT_GENES","HOST_SAMPLING_ON","HOST_SAMPLE_SIZE","MICROSCOPY_SAMPLING_ON","P_MICROSCOPY","GENE_TRANSMISSIBILITY","COINFECTION_REDUCES_TRANSMISSION","ECTOPIC_RECOMBINATION_RATE","RHO","IMMUNITY_LOSS_RATE","MUTATION_RATE","BITING_RATE_MEAN","IRS_ON","IRS_START_TIMES","HOST_SAMPLING_START_YEAR","IRS_DURATION","IRS_BITING_RATE_FACTORS","IMMIGRATION_ON","IMMIGRATION_RATE","MIGRANTS_MATCH_LOCAL_PREVALENCE","REGION_TO_LOCAL_POP_SIZE_RATIO","P_GENE_INVASION","DAILY_BITING_RATE_DISTRIBUTION","ECTOPIC_RECOMBINATION_CREATE_NEW_ALLELE","P_ECTOPIC_RECOMBINATION_CREATE_NEW_ALLELE","N_LOCI","RECOMBINATION_LOAD"
1,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",1500,"False",0.57,1,"True",5.64971751e-07,0.8,0.000925925925925926,1.42e-08,5e-05,"True",200,197,2,0.8,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
2,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",1500,"False",0.57,1,"True",5.64971751e-07,0.8,0.000925925925925926,1.42e-08,5e-05,"True",200,197,2,0.66,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
3,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",1500,"False",0.57,1,"True",5.64971751e-07,0.8,0.000925925925925926,1.42e-08,5e-05,"True",200,197,2,0.5445,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
4,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",1500,"False",0.57,1,"True",5.64971751e-07,0.8,0.000925925925925926,1.42e-08,5e-05,"True",200,197,2,0.4492,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
5,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",1500,"False",0.57,1,"True",5.64971751e-07,0.8,0.000925925925925926,1.42e-08,5e-05,"True",200,197,2,0.3706,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
6,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",1500,"False",0.57,1,"True",5.64971751e-07,0.8,0.000925925925925926,1.42e-08,5e-05,"True",200,197,2,0.3057,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
7,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",1500,"False",0.57,1,"True",5.64971751e-07,0.8,0.000925925925925926,1.42e-08,5e-05,"True",200,197,2,0.2522,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
8,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",1500,"False",0.57,1,"True",5.64971751e-07,0.8,0.000925925925925926,1.42e-08,5e-05,"True",200,197,2,0.2081,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
9,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",1500,"False",0.57,1,"True",5.64971751e-07,0.8,0.000925925925925926,1.42e-08,5e-05,"True",200,197,2,0.1717,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
10,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",1500,"False",0.57,1,"True",5.64971751e-07,0.8,0.000925925925925926,1.42e-08,5e-05,"True",200,197,2,0.1417,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
11,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",1500,"False",0.57,1,"True",5.64971751e-07,0.8,0.000925925925925926,1.42e-08,5e-05,"True",200,197,2,0.1169,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
12,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",1500,"False",0.57,1,"True",5.64971751e-07,0.8,0.000925925925925926,1.42e-08,5e-05,"True",200,197,2,0.0964,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
13,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",1500,"False",0.57,1,"True",5.64971751e-07,0.8,0.000925925925925926,1.42e-08,5e-05,"True",200,197,2,0.0795,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
14,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",1500,"False",0.57,1,"True",5.64971751e-07,0.8,0.000925925925925926,1.42e-08,5e-05,"True",200,197,2,0.0656,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
15,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",150,"False",0.57,1,"True",5.64971751e-07,0.8,0.000694444444444444,1.42e-08,6e-05,"True",200,197,2,0.8,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
16,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",150,"False",0.57,1,"True",5.64971751e-07,0.8,0.000694444444444444,1.42e-08,6e-05,"True",200,197,2,0.66,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
17,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",150,"False",0.57,1,"True",5.64971751e-07,0.8,0.000694444444444444,1.42e-08,6e-05,"True",200,197,2,0.5445,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
18,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",150,"False",0.57,1,"True",5.64971751e-07,0.8,0.000694444444444444,1.42e-08,6e-05,"True",200,197,2,0.4492,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
19,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",150,"False",0.57,1,"True",5.64971751e-07,0.8,0.000694444444444444,1.42e-08,6e-05,"True",200,197,2,0.3706,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
20,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",150,"False",0.57,1,"True",5.64971751e-07,0.8,0.000694444444444444,1.42e-08,6e-05,"True",200,197,2,0.3057,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
21,45,210,12000,1200,"SPECIFIC_IMMUNITY","False",0.166666666666667,1000,360,2,211,20,20,"True",21,"True","True","True",150,"False",0.57,1,"True",5.64971751e-07,0.8,0.000694444444444444,1.42e-08,6e-05,"True",200,197,2,0.2522,"False",0,"False",0,0,"./mosquito_population_plosbiol_4.csv","True",0.16,2,"True"
